title,artist,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Break My Heart,Dua Lipa,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,0.73,0.7290000000000001,4,-3.4339999999999997,0,0.0883,0.16699999999999998,1.39e-06,0.349,0.467,113.01299999999999,221820,4,1
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.34700000000000003,125.971,190476,4,1
Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,215280,4,1
Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,0.0237,7.000000000000001e-06,0.102,0.569,99.04799999999999,207133,4,1
Mood Swings,Pop Smoke Featuring Lil Tjay,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,0.48,0.602,10,-6.335,0,0.368,0.48700000000000004,0.0,0.0848,0.26899999999999996,179.798,213333,4,1
Come & Go,Juice WRLD x Marshmello,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,0.625,0.8140000000000001,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,4,1
Savage,Megan Thee Stallion Featuring Beyonce,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,0.8220000000000001,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,242001,4,1
Popstar,DJ Khaled Featuring Drake,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,5,-4.8180000000000005,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4,1
Die From A Broken Heart,Maddie & Tae,https://open.spotify.com/track/1kFpL1itkwkdhO6kcmNJra,0.607,0.514,4,-6.631,1,0.0323,0.363,0.0,0.258,0.414,75.97800000000001,188291,4,1
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,0.49,0.618,1,-5.655,1,0.10400000000000001,0.0221,3.77e-06,0.259,0.28600000000000003,99.7,201600,4,1
Death Bed,Powfu Featuring beabadoobee,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4,1
The Bones,Maren Morris,https://open.spotify.com/track/7yFhA2fUsL2oIMWlw5DaHQ,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.33399999999999996,77.002,197293,4,1
Be Like That,Kane Brown With Swae Lee & Khalid,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4,1
Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,1
Rags2Riches,Rod Wave Featuring ATR Son Son,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq,0.904,0.252,5,-17.54,0,0.11,0.294,0.0,0.10400000000000001,0.22699999999999998,117.994,167184,4,1
Blueberry Faygo,Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.5539999999999999,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.03399999999999,162547,4,1
Lovin' On You,Luke Combs,https://open.spotify.com/track/0nYvjcSlCgjcwogQAwIwNp,0.5720000000000001,0.9490000000000001,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.97399999999999,194867,4,1
Tap In,Saweetie,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD,0.9540000000000001,0.696,10,-7.117000000000001,0,0.204,0.00576,0.0004980000000000001,0.0754,0.43200000000000005,100.036,139413,4,1
Wishing Well,Juice WRLD,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4,1
Got What I Got,Jason Aldean,https://open.spotify.com/track/4TCc369aRPRubv1m8R1TBG,0.512,0.58,3,-6.6579999999999995,0,0.028999999999999998,0.621,1.7199999999999998e-05,0.513,0.303,159.847,178147,3,1
If The World Was Ending,JP Saxe Featuring Julia Michaels,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,0.46399999999999997,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4,1
Life Is Good,Future Featuring Drake,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,0.6759999999999999,0.609,2,-5.831,0,0.48100000000000004,0.0706,0.0,0.152,0.508,142.037,237735,4,1
Cardigan,Taylor Swift,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,0,-8.588,0,0.0424,0.537,0.00034500000000000004,0.25,0.551,130.033,239560,4,1
One Margarita,Luke Bryan,https://open.spotify.com/track/6NhS5LwYbJ6xD7BGvlWRJO,0.6409999999999999,0.8420000000000001,9,-4.872,1,0.0464,0.0969,0.0,0.16899999999999998,0.738,89.99700000000001,193427,4,1
7 Summers,Morgan Wallen,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy,0.457,0.774,0,-5.2010000000000005,1,0.0336,0.428,4.29e-05,0.11900000000000001,0.59,203.863,210123,4,1
Cool Again,Kane Brown,https://open.spotify.com/track/5P3oaNpPDVLRJsL3152SEs,0.608,0.735,4,-5.497000000000001,1,0.0371,0.0156,1.69e-06,0.361,0.773,90.007,164668,4,1
I Love My Country,Florida Georgia Line,https://open.spotify.com/track/5blHL2xSCGv00fr1DGuvEf,0.527,0.943,4,-3.56,1,0.065,0.0249,0.0,0.373,0.584,140.132,184573,4,1
Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,0.705,0.8140000000000001,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279,4,1
Intentions,Justin Bieber Featuring Quavo,https://open.spotify.com/track/364dI1bYnvamSnBJ8JcNzN,0.8109999999999999,0.5529999999999999,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,212869,4,1
Chasin' You,Morgan Wallen,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4,1
We Paid,Lil Baby & 42 Dugg,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,0.9259999999999999,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4,1
Girls In The Hood,Megan Thee Stallion,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh,0.821,0.863,6,-3.159,1,0.353,0.00824,0.0,0.0377,0.8740000000000001,180.013,154324,4,1
One Of Them Girls,Lee Brice,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.98700000000001,188893,4,1
Say So,Doja Cat Featuring Nicki Minaj,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa,0.856,0.6409999999999999,11,-4.64,0,0.204,0.11900000000000001,4.97e-06,0.42700000000000005,0.745,111.00399999999999,206221,4,1
The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.8959999999999999,0.586,10,-6.687,0,0.0559,0.10400000000000001,0.0,0.79,0.642,116.971,196653,4,1
Nobody's Love,Maroon 5,https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq,0.486,0.5670000000000001,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,211254,4,1
Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,0.35700000000000004,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.07799999999999,198040,3,1
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",https://open.spotify.com/track/5o6dFqafETxZNqUFt9ZqAC,0.509,0.493,0,-6.676,1,0.0266,0.0397,1.32e-06,0.102,0.264,97.846,173961,4,1
Smile,Juice WRLD & The Weeknd,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,0.6940000000000001,0.685,6,-6.535,0,0.133,0.22399999999999998,0.0,0.124,0.306,158.83100000000002,196180,4,1
Party Girl,StaySolidRocky,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l,0.728,0.431,6,-9.966000000000001,0,0.0622,0.7490000000000001,0.0,0.0996,0.629,130.02200000000002,147800,4,1
The Bigger Picture,Lil Baby,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,0.59,0.618,1,-5.756,1,0.33399999999999996,0.0127,0.0,0.244,0.153,96.459,252729,3,1
Rain On Me,Lady Gaga & Ariana Grande,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,182200,4,1
Like That,Doja Cat Featuring Gucci Mane,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s,0.879,0.499,4,-6.027,0,0.18,0.24,0.0,0.0967,0.405,106.04299999999999,163173,4,1
My Future,Billie Eilish,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.35200000000000004,0.0875,104.745,208155,4,1
Said Sum,Moneybagg Yo,https://open.spotify.com/track/3sKz6Sd72K0ofPWcJPPk6H,0.929,0.667,8,-6.789,0,0.353,0.0185,0.0,0.1,0.27399999999999997,126.99799999999999,155168,4,1
I Should Probably Go To Bed,Dan + Shay,https://open.spotify.com/track/5ovVcYo2MvjVydFwFyaaqy,0.721,0.27699999999999997,1,-7.127999999999999,1,0.0365,0.634,0.0,0.11199999999999999,0.309,131.935,171827,4,1
Why We Drink,Justin Moore,https://open.spotify.com/track/4lSfhHd5Knwl8yQw2cVjAD,0.624,0.903,6,-3.0460000000000003,1,0.0347,0.00824,0.0,0.309,0.7240000000000001,116.99,211430,4,1
I Called Mama,Tim McGraw,https://open.spotify.com/track/2oWuBmQtYMx3LEgahIsJvs,0.499,0.619,2,-7.053999999999999,1,0.0339,0.5710000000000001,4.82e-06,0.14800000000000002,0.514,86.185,212147,4,1
Greece,DJ Khaled Featuring Drake,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,0.695,0.34299999999999997,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.22899999999999998,85.84,218902,4,1
24,Money Man Featuring Lil Baby,https://open.spotify.com/track/7v96VvFLS0wSYT8kewNLRy,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.45899999999999996,126.03,182857,4,1
Bang!,AJR,https://open.spotify.com/track/5zrvbvUB7T3d1mi69885VZ,0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858,4,1
Kacey Talk,YoungBoy Never Broke Again,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F,0.877,0.607,10,-7.818,0,0.15,0.535,0.0,0.138,0.773,127.055,151249,4,1
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.47100000000000003,140.04,195429,4,1
More Than My Hometown,Morgan Wallen,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz,0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014,216573,4,1
God Whispered Your Name,Keith Urban,https://open.spotify.com/track/7Ce11Oh1kConF6UlkBWnaZ,0.594,0.6,2,-6.712000000000001,1,0.0498,0.306,0.0,0.149,0.5,145.967,232165,4,1
Need It,Migos Featuring YoungBoy Never Broke Again,https://open.spotify.com/track/6mtjo5kIHKlboGE84lf1FJ,0.852,0.745,11,-3.667,0,0.171,0.0313,0.0,0.0824,0.897,148.007,195681,4,1
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,0.5710000000000001,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.17300000000000001,0.39299999999999996,168.169,232253,4,1
Breaking Me,Topic & A7S,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4,1
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,https://open.spotify.com/track/5Y05LYM8LhnQN78GqfjSeK,0.516,0.745,2,-8.352,1,0.0774,0.564,0.0,0.275,0.826,186.00599999999997,173173,3,1
Kings & Queens,Ava Max,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx,0.637,0.69,1,-4.0569999999999995,0,0.0405,0.007859999999999999,0.0,0.124,0.457,129.857,162399,4,1
The Plan,Travis Scott,https://open.spotify.com/track/3Xan7x0swSa4C7MdfR0iub,0.39,0.45,6,-10.558,0,0.0367,0.107,0.000265,0.11699999999999999,0.0362,79.682,185851,3,1
Pretty Heart,Parker McCollum,https://open.spotify.com/track/6vC90OOjZR165Hw8CpsqEm,0.562,0.6829999999999999,7,-4.427,1,0.0296,0.0053100000000000005,0.0,0.107,0.385,132.003,244798,4,1
Done,Chris Janson,https://open.spotify.com/track/693NFnfJZt16AFDaZqlflo,0.565,0.835,9,-3.3789999999999996,1,0.0335,0.34,0.0,0.0726,0.763,105.007,220120,4,1
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,https://open.spotify.com/track/2DwbFtfC6sXBiVDPmju8Dd,0.5379999999999999,0.745,8,-5.774,1,0.0387,0.1,0.0,0.063,0.669,165.755,170173,4,1
Some Girls,Jameson Rodgers,https://open.spotify.com/track/54eUv9Q3D9MZuOGS5PSflp,0.431,0.831,8,-5.1080000000000005,1,0.0474,0.0791,0.0,0.312,0.35200000000000004,167.96,184893,4,1
Hawai,Maluma,https://open.spotify.com/track/4uoR6qeWeuL4Qeu2qJzkuG,0.787,0.728,6,-3.455,0,0.389,0.18899999999999997,2.2899999999999998e-05,0.0629,0.545,180.06599999999997,200198,4,1
One Night Standards,Ashley McBryde,https://open.spotify.com/track/47qZzTLLJcuD69AIKnquo4,0.537,0.6859999999999999,5,-5.022,1,0.0293,0.0287,0.007090000000000001,0.0988,0.611,78.05199999999999,190973,4,1
Caramelo,Ozuna,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG,0.728,0.8059999999999999,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,217547,4,1
ily,surf mesa Featuring Emilee,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.0018800000000000002,0.39299999999999996,0.33,112.05,176547,4,1
Martin & Gina,Polo G,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,0.8320000000000001,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.11599999999999999,93.92399999999999,132833,4,1
Dollaz On My Head,Gunna Featuring Young Thug,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG,0.825,0.45799999999999996,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,197760,4,1
The 1,Taylor Swift,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,0.777,0.35700000000000004,0,-6.942,1,0.0522,0.757,7.28e-06,0.10800000000000001,0.172,139.88299999999998,210252,4,1
My Ex's Best Friend,Machine Gun Kelly X blackbear,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl,0.731,0.675,5,-5.1339999999999995,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4,1
Girl Of My Dreams,Rod Wave,https://open.spotify.com/track/65QRS8iMQ1TsQ93fPZIZ4i,0.586,0.547,4,-7.382999999999999,0,0.095,0.502,0.0,0.0963,0.35,75.911,159817,4,1
After Party,Don Toliver,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,0.629,0.6920000000000001,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.45299999999999996,162.94799999999998,167916,4,1
Stuck With U,Ariana Grande & Justin Bieber,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,0.597,0.45,8,-6.6579999999999995,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3,1
All In,YoungBoy Never Broke Again,https://open.spotify.com/track/7CdoE8U5DwrwCaLoyf3ME0,0.511,0.654,8,-6.132999999999999,1,0.314,0.053,0.0,0.316,0.27899999999999997,154.868,156663,4,1
Got It On Me,Pop Smoke,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,2,-7.257999999999999,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834,164580,4,1
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,https://open.spotify.com/track/677KTHp39ZBJ9csDdgymI9,0.835,0.48200000000000004,8,-8.607000000000001,0,0.36700000000000005,0.262,0.0,0.0991,0.44799999999999995,143.015,169532,4,1
La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.7859999999999999,176.007,345241,4,1
Lonely If You Are,Chase Rice,https://open.spotify.com/track/5TI10v8sy9VPp5YhVRVK1f,0.6809999999999999,0.726,7,-5.1,1,0.0453,0.162,0.0,0.11900000000000001,0.8190000000000001,84.98,176729,4,1
You Broke Me First.,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,0.642,0.374,4,-9.386000000000001,1,0.0545,0.7859999999999999,0.0,0.0906,0.0799,124.09899999999999,169266,4,1
Spicy,Nas Featuring Fivio Foreign & A$AP Ferg,https://open.spotify.com/track/661wc0CTq5MbppEG6zYP5n,0.7240000000000001,0.603,1,-6.553,1,0.406,0.0187,0.0,0.16899999999999998,0.152,180.02,166523,4,1
Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49,0.701,0.65,6,-6.313,1,0.10400000000000001,0.29100000000000004,0.0,0.11199999999999999,0.647,90.00299999999999,160212,4,1
Exile,Taylor Swift Featuring Bon Iver,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.6200000000000004e-05,0.11,0.152,75.602,285634,4,1
B*tch From da Souf,Mulatto,https://open.spotify.com/track/2zUbimuKNWDMCwbqNauLWV,0.8340000000000001,0.531,1,-5.707999999999999,1,0.36,0.0662,0.0,0.136,0.415,150.126,224119,4,1
21,Polo G,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H,0.7829999999999999,0.479,7,-10.645999999999999,1,0.541,0.149,0.0,0.10099999999999999,0.5329999999999999,176.02700000000002,163798,4,1
Emotionally Scarred,Lil Baby,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm,0.585,0.6409999999999999,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.28399999999999,197530,4,1
Bluebird,Miranda Lambert,https://open.spotify.com/track/0kPeZAyIhIfeZNrtfjJGDB,0.6609999999999999,0.633,7,-5.986000000000001,1,0.0348,0.038,2.75e-06,0.124,0.613,81.984,209760,4,1
Toosie Slide,Drake,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.8340000000000001,0.45399999999999996,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.8370000000000001,81.618,247059,4,1
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q,0.894,0.635,2,-6.928999999999999,1,0.0473,0.193,0.00105,0.0823,0.428,105.01299999999999,249143,4,1
Conversations,Juice WRLD,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob,0.747,0.622,11,-5.825,1,0.0838,0.17600000000000002,0.0,0.151,0.57,159.93,181661,4,1
Righteous,Juice WRLD,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.94799999999998,242181,4,1
Past Life,Trevor Daniel x Selena Gomez,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t,0.612,0.539,3,-5.071000000000001,1,0.0488,0.10400000000000001,0.0,0.18,0.294,79.94800000000001,186480,4,1
Something Special,Pop Smoke,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,0.7390000000000001,0.616,7,-6.962999999999999,0,0.0338,0.252,1.93e-06,0.10099999999999999,0.654,91.071,158466,4,1
Hard To Forget,Sam Hunt,https://open.spotify.com/track/73nVXVgoqOuZfdbtONnWVE,0.6890000000000001,0.6890000000000001,4,-5.517,1,0.045,0.23,0.0,0.57,0.664,130.069,204760,4,1
Supalonely,BENEE Featuring Gus Dapperton,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.12300000000000001,0.8170000000000001,128.977,223480,4,1
Letter From Houston,Rod Wave,https://open.spotify.com/track/16UIEoHFNZB9hzTvDO7m8m,0.6809999999999999,0.5720000000000001,11,-10.440999999999999,0,0.0708,0.131,0.0,0.18100000000000002,0.758,156.066,173923,4,1
One Big Country Song,LOCASH,https://open.spotify.com/track/28uL97M3whSL1UWqr7hsNh,0.547,0.8220000000000001,5,-2.85,1,0.0334,0.602,0.0,0.107,0.5529999999999999,81.98100000000001,193027,4,1
Don't Rush,Young T & Bugsey Featuring Headie One,https://open.spotify.com/track/0PXukVbYpvz40KcEFKnIw7,0.961,0.461,9,-8.684,1,0.27,0.20199999999999999,0.00402,0.162,0.324,108.02799999999999,207640,4,1
Freestyle,Rod Wave,https://open.spotify.com/track/5qDvFFyctACHvs2gi3uu71,0.7440000000000001,0.648,6,-8.66,0,0.0623,0.0517,0.0,0.174,0.523,154.063,174768,5,1
Life's A Mess,Juice WRLD X Halsey,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs,0.63,0.446,1,-8.9,1,0.0351,0.337,0.0,0.166,0.177,143.078,202193,4,1
Move Ya Hips,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,https://open.spotify.com/track/5esKpsrB3TbGHwFaAjIGMx,0.809,0.68,4,-4.883,1,0.222,0.0535,1.2e-06,0.11,0.0653,143.988,146009,4,1
Be Kind,Marshmello & Halsey,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.087999999999999,1,0.0457,0.0077599999999999995,0.0,0.0541,0.452,93.995,172762,4,1
Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,10,-8.756,0,0.0364,0.12300000000000001,0.0,0.0887,0.23600000000000002,127.085,159382,4,1
Walk Em Down,NLE Choppa Featuring Roddy Ricch,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg,0.867,0.7440000000000001,2,-5.171,1,0.22699999999999998,0.268,0.0,0.0713,0.645,84.005,173288,4,1
The Last Great American Dynasty,Taylor Swift,https://open.spotify.com/track/2Eeur20xVqfUoM3Q7EFPFt,0.6859999999999999,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,4,1
My Tears Ricochet,Taylor Swift,https://open.spotify.com/track/1MgV7FIyNxIG7WzMRJV5HC,0.456,0.263,0,-10.63,1,0.0332,0.8059999999999999,0.0,0.0749,0.111,129.86,255894,4,1
August,Taylor Swift,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,5,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.40299999999999997,89.93700000000001,261923,4,1
Invisible String,Taylor Swift,https://open.spotify.com/track/3yz88FVJQhwG2EqYHw3pkx,0.653,0.452,4,-11.142999999999999,0,0.055,0.838,7.730000000000001e-05,0.10800000000000001,0.45,83.43299999999999,252881,4,1
Betty,Taylor Swift,https://open.spotify.com/track/5kI4eCXXzyuIUXjQra0Cxi,0.593,0.377,0,-8.761000000000001,1,0.0253,0.6,0.0,0.0976,0.502,95.939,294521,4,1
